cultivar,Rep,Year,Loc,trait1,trait2,trait3,trait4
CUL_0001,1,2009,beijing,38789.8,4.75,4.47,0.34
CUL_0001,2,2009,beijing,*,4.84,4.67,0.25
CUL_0002,1,2009,beijing,30888.17,5.65,4.47,0.33
CUL_0002,2,2009,beijing,*,5.87,4.45,0.31
CUL_0003,1,2009,beijing,70396.3,5.5,4.34,0.34
CUL_0003,2,2009,beijing,*,5.34,4.43,0.32
CUL_0004,1,2009,beijing,33761.49,5.65,4.36,0.38
CUL_0004,2,2009,beijing,*,4.97,4.29,0.37
CUL_0005,1,2009,beijing,38789.8,6.65,4.38,0.38
CUL_0005,2,2009,beijing,*,6.28,4.4,0.31
CUL_0006,1,2009,beijing,25141.54,5.75,4.5,0.33
CUL_0006,2,2009,beijing,*,5.32,4.38,0.31
CUL_0007,1,2009,beijing,22986.55,6.75,4.6,0.3
CUL_0007,2,2009,beijing,*,7.07,4.46,0.36
CUL_0008,1,2009,beijing,26578.2,6.1,4.25,0.51
CUL_0008,2,2009,beijing,*,5.99,4.2,0.41
CUL_0009,1,2009,beijing,23704.88,6.45,4.43,0.38
CUL_0009,2,2009,beijing,*,6.44,4.58,0.32
CUL_0010,1,2009,beijing,40944.79,6.3,4.36,0.39
CUL_0010,2,2009,beijing,*,5.96,4.32,0.34
CUL_0011,1,2009,beijing,35198.15,5.4,4.39,0.34
CUL_0011,2,2009,beijing,*,4.88,4.32,0.3
CUL_0012,1,2009,beijing,48846.41,6.2,4.41,0.35
CUL_0012,2,2009,beijing,*,6.38,4.48,0.31
CUL_0013,1,2009,beijing,18676.57,6.4,4.51,0.34
CUL_0013,2,2009,beijing,*,6.01,4.47,0.3
CUL_0014,1,2009,beijing,22986.55,5.05,4.35,0.38
CUL_0014,2,2009,beijing,*,6.09,4.39,0.3
CUL_0015,1,2009,beijing,15803.25,5.45,4.41,0.37
CUL_0015,2,2009,beijing,*,7.22,4.49,0.31
CUL_0016,1,2009,beijing,13648.26,5.8,4.42,0.34
CUL_0016,2,2009,beijing,*,5.9,4.22,0.4
CUL_0017,1,2009,beijing,43099.78,5.45,4.32,0.37
CUL_0017,2,2009,beijing,*,5.28,4.37,0.37
CUL_0018,1,2009,beijing,43818.11,5.6,4.58,0.29
CUL_0018,2,2009,beijing,*,6.01,4.56,0.29
CUL_0019,1,2009,beijing,61058.02,4.95,4.5,0.24
CUL_0019,2,2009,beijing,*,4.17,4.43,0.25
CUL_0020,1,2009,beijing,63213,4.7,4.52,0.26
CUL_0020,2,2009,beijing,*,5.82,4.57,0.27
CUL_0021,1,2009,beijing,46691.42,5.3,4.6,0.26
CUL_0021,2,2009,beijing,*,4.56,4.67,0.24
CUL_0022,1,2009,beijing,58903.03,5.05,4.47,0.33
CUL_0022,2,2009,beijing,*,4.23,4.35,0.27
CUL_0023,1,2009,beijing,50283.07,4.65,4.44,0.31
CUL_0023,2,2009,beijing,*,5.58,4.64,0.24
CUL_0024,1,2009,beijing,43818.11,5.45,4.69,0.25
CUL_0024,2,2009,beijing,*,4.69,4.5,0.26
CUL_0025,1,2009,beijing,52438.06,4.75,4.55,0.25
CUL_0025,2,2009,beijing,*,4.48,4.71,0.21
CUL_0026,1,2009,beijing,67522.98,5.45,4.65,0.27
CUL_0026,2,2009,beijing,*,4.77,4.49,0.29
CUL_0027,1,2009,beijing,28014.85,5.8,4.56,0.27
CUL_0027,2,2009,beijing,*,4.51,4.47,0.3
CUL_0028,1,2009,beijing,51719.73,5.45,4.48,0.37
CUL_0028,2,2009,beijing,*,6.12,4.53,0.32
CUL_0029,1,2009,beijing,52438.06,5.9,4.49,0.25
CUL_0029,2,2009,beijing,*,5.89,4.28,0.33
CUL_0030,1,2009,beijing,30169.84,4.85,4.47,0.29
CUL_0030,2,2009,beijing,*,5.23,4.4,0.3
CUL_0031,1,2009,beijing,69677.97,4.95,4.37,0.32
CUL_0031,2,2009,beijing,*,4.45,4.23,0.33
CUL_0032,1,2009,beijing,53156.39,4.6,4.43,0.25
CUL_0032,2,2009,beijing,*,4.75,4.25,0.29
CUL_0033,1,2009,beijing,43818.11,5.55,4.64,0.3
CUL_0033,2,2009,beijing,*,4.75,4.57,0.24
CUL_0034,1,2009,beijing,67522.98,5,4.47,0.31
CUL_0034,2,2009,beijing,*,4.76,4.31,0.33
CUL_0035,1,2009,beijing,45254.76,5.2,4.47,0.32
CUL_0035,2,2009,beijing,*,*,*,*
CUL_0036,1,2009,beijing,37353.14,4.7,4.45,0.39
CUL_0036,2,2009,beijing,*,5.04,4.6,0.28
CUL_0037,1,2009,beijing,53874.72,4.45,4.37,0.31
CUL_0037,2,2009,beijing,*,4.47,4.46,0.27
CUL_0038,1,2009,beijing,73987.95,4.4,4.38,0.32
CUL_0038,2,2009,beijing,*,4.56,4.23,0.39
CUL_0039,1,2009,beijing,64649.66,4.8,4.36,0.35
CUL_0039,2,2009,beijing,*,4.35,4.38,0.3
CUL_0040,1,2009,beijing,66086.32,5.5,4.49,0.33
CUL_0040,2,2009,beijing,*,5.13,4.36,0.33
CUL_0041,1,2009,beijing,66086.32,4.7,4.47,0.29
CUL_0041,2,2009,beijing,*,4.76,4.52,0.24
CUL_0042,1,2009,beijing,49564.74,4.7,4.36,0.36
CUL_0042,2,2009,beijing,*,5.45,4.46,0.31
CUL_0043,1,2009,beijing,12929.93,6.25,4.7,0.32
CUL_0043,2,2009,beijing,*,6.13,4.38,0.43
CUL_0044,1,2009,beijing,35916.48,5.45,4.39,0.38
CUL_0044,2,2009,beijing,*,4.89,4.37,0.34
CUL_0045,1,2009,beijing,68959.64,5.3,4.42,0.32
CUL_0045,2,2009,beijing,*,5.25,4.4,0.33
CUL_0046,1,2009,beijing,80452.91,5.35,4.42,0.28
CUL_0046,2,2009,beijing,*,4.91,4.39,0.31
CUL_0047,1,2009,beijing,35198.15,5.15,4.48,0.31
CUL_0047,2,2009,beijing,*,4.78,4.42,0.33
CUL_0048,1,2009,beijing,44536.44,5.85,4.36,0.42
CUL_0048,2,2009,beijing,*,5.36,4.23,0.39
CUL_0049,1,2009,beijing,36634.81,5.3,4.42,0.33
CUL_0049,2,2009,beijing,*,5.05,4.45,0.32
CUL_0050,1,2009,beijing,50283.07,4.7,4.39,0.32
CUL_0050,2,2009,beijing,*,4.5,4.49,0.32
CUL_0051,1,2009,beijing,73987.95,5,4.37,0.32
CUL_0051,2,2009,beijing,*,5.29,4.31,0.36
CUL_0052,1,2009,beijing,51719.73,5.5,4.28,0.37
CUL_0052,2,2009,beijing,*,5.18,4.14,0.36
CUL_0053,1,2009,beijing,71832.96,4.7,4.5,0.3
CUL_0053,2,2009,beijing,*,5.6,4.28,0.4
CUL_0054,1,2009,beijing,26578.2,5.4,4.35,0.36
CUL_0054,2,2009,beijing,*,4.66,4.58,0.24
CUL_0055,1,2009,beijing,54593.05,4.75,4.53,0.27
CUL_0055,2,2009,beijing,*,4.76,4.35,0.38
CUL_0056,1,2009,beijing,33043.16,4.95,4.31,0.38
CUL_0056,2,2009,beijing,*,5,4.33,0.38
CUL_0057,1,2009,beijing,65367.99,5.3,4.44,0.33
CUL_0057,2,2009,beijing,*,5.27,4.38,0.35
CUL_0058,1,2009,beijing,71832.96,5.35,4.49,0.33
CUL_0058,2,2009,beijing,*,5.62,4.44,0.34
CUL_0059,1,2009,beijing,61776.35,5.15,4.44,0.2
CUL_0059,2,2009,beijing,*,4.13,4.28,0.33
CUL_0060,1,2009,beijing,54593.05,5,4.42,0.37
CUL_0060,2,2009,beijing,*,5.64,4.52,0.31
CUL_0061,1,2009,beijing,51001.4,4.8,4.43,0.32
CUL_0061,2,2009,beijing,*,4.48,4.47,0.31
CUL_0062,1,2009,beijing,63931.33,6.25,4.39,0.36
CUL_0062,2,2009,beijing,*,5.33,4.36,0.36
CUL_0063,1,2009,beijing,64649.66,4.75,4.46,0.23
CUL_0063,2,2009,beijing,*,4.29,4.34,0.3
CUL_0064,1,2009,beijing,43818.11,5.65,4.51,0.31
CUL_0064,2,2009,beijing,*,5.08,4.22,0.35
CUL_0065,1,2009,beijing,51719.73,4.75,4.44,0.32
CUL_0065,2,2009,beijing,*,4.87,4.45,0.29
CUL_0066,1,2009,beijing,68241.31,5.15,4.48,0.31
CUL_0066,2,2009,beijing,*,5.1,4.47,0.28
CUL_0067,1,2009,beijing,61058.02,4.45,4.49,0.29
CUL_0067,2,2009,beijing,*,5.3,4.39,0.32
CUL_0068,1,2009,beijing,57466.37,5.4,4.42,0.32
CUL_0068,2,2009,beijing,*,5.2,4.38,0.35
CUL_0069,1,2009,beijing,39508.13,6.1,4.36,0.42
CUL_0069,2,2009,beijing,*,4.92,4.5,0.29
CUL_0070,1,2009,beijing,53156.39,4.8,4.41,0.34
CUL_0070,2,2009,beijing,*,4.9,4.27,0.4
CUL_0071,1,2009,beijing,58903.03,5.35,4.48,0.32
CUL_0071,2,2009,beijing,*,4.95,4.53,0.29
CUL_0072,1,2009,beijing,42381.45,4.75,4.33,0.4
CUL_0072,2,2009,beijing,*,4.54,4.25,0.39
CUL_0073,1,2009,beijing,*,*,*,*
CUL_0073,2,2009,beijing,*,*,*,*
CUL_0074,1,2009,beijing,*,*,*,*
CUL_0074,2,2009,beijing,*,*,*,*
CUL_0075,1,2009,beijing,53156.39,4.3,4.41,0.19
CUL_0075,2,2009,beijing,*,4.33,4.48,0.28
CUL_0076,1,2009,beijing,54593.05,5.25,4.43,0.29
CUL_0076,2,2009,beijing,*,4.88,4.26,0.35
CUL_0077,1,2009,beijing,43818.11,5.05,4.58,0.31
CUL_0077,2,2009,beijing,*,4.88,4.58,0.27
CUL_0078,1,2009,beijing,62494.68,4.9,4.39,0.34
CUL_0078,2,2009,beijing,*,4.77,4.4,0.31
CUL_0079,1,2009,beijing,70396.3,4.85,4.38,0.33
CUL_0079,2,2009,beijing,*,5.09,4.37,0.35
CUL_0080,1,2009,beijing,39508.13,4.55,4.43,0.32
CUL_0080,2,2009,beijing,*,4.58,4.41,0.35
CUL_0081,1,2009,beijing,58903.03,5.4,4.51,0.3
CUL_0081,2,2009,beijing,*,4.61,4.46,0.29
CUL_0082,1,2009,beijing,40226.46,4.65,4.41,0.3
CUL_0082,2,2009,beijing,*,4.88,4.38,0.31
CUL_0083,1,2009,beijing,51001.4,5.4,4.42,0.32
CUL_0083,2,2009,beijing,*,4.73,4.45,0.27
CUL_0084,1,2009,beijing,53874.72,5.45,4.44,0.33
CUL_0084,2,2009,beijing,*,4.73,4.39,0.33
CUL_0085,1,2009,beijing,45254.76,5.35,4.46,0.34
CUL_0085,2,2009,beijing,*,5.39,4.38,0.32
CUL_0086,1,2009,beijing,39508.13,5.2,4.62,0.29
CUL_0086,2,2009,beijing,*,5.27,4.4,0.32
CUL_0087,1,2009,beijing,65367.99,4.5,4.59,0.25
CUL_0087,2,2009,beijing,*,4.36,4.36,0.29
CUL_0088,1,2009,beijing,31606.5,5,4.53,0.26
CUL_0088,2,2009,beijing,*,4.97,4.51,0.25
CUL_0089,1,2009,beijing,52438.06,5.1,4.44,0.32
CUL_0089,2,2009,beijing,*,4.79,4.61,0.24
CUL_0090,1,2009,beijing,20831.56,4.9,4.32,0.37
CUL_0090,2,2009,beijing,*,5.15,4.33,0.34
CUL_0091,1,2009,beijing,48846.41,4,4.52,0.25
CUL_0091,2,2009,beijing,*,4.18,4.36,0.3
CUL_0092,1,2009,beijing,43099.78,4.75,4.44,0.27
CUL_0092,2,2009,beijing,*,4.83,4.51,0.28
CUL_0093,1,2009,beijing,17958.24,5.3,4.44,0.34
CUL_0093,2,2009,beijing,*,5.7,4.61,0.25
CUL_0094,1,2009,beijing,43099.78,5.05,4.32,0.38
CUL_0094,2,2009,beijing,*,4.87,4.21,0.38
CUL_0095,1,2009,beijing,54593.05,5.15,4.71,0.21
CUL_0095,2,2009,beijing,*,5.6,4.46,0.3
CUL_0096,1,2009,beijing,30888.17,6.05,4.55,0.29
CUL_0096,2,2009,beijing,*,6.2,4.66,0.25
CUL_0097,1,2009,beijing,17239.91,5.95,4.4,0.33
CUL_0097,2,2009,beijing,*,5.34,4.37,0.3
CUL_0098,1,2009,beijing,43099.78,4.65,4.4,0.27
CUL_0098,2,2009,beijing,*,4.75,4.34,0.31
CUL_0099,1,2009,beijing,50283.07,5.8,4.33,0.41
CUL_0099,2,2009,beijing,*,5.15,4.33,0.35
CUL_0100,1,2009,beijing,68959.64,5.35,4.27,0.39
CUL_0100,2,2009,beijing,*,5.17,4.24,0.36
CUL_0101,1,2009,beijing,56748.04,5.7,4.35,0.3
CUL_0101,2,2009,beijing,*,5.86,4.3,0.36
CUL_0102,1,2009,beijing,38789.8,5.15,4.55,0.3
CUL_0102,2,2009,beijing,*,5.05,4.49,0.25
CUL_0103,1,2009,beijing,38071.47,5.3,4.58,0.25
CUL_0103,2,2009,beijing,*,5.34,4.6,0.25
CUL_0104,1,2009,beijing,36634.81,5.1,4.57,0.29
CUL_0104,2,2009,beijing,*,5.76,4.48,0.32
CUL_0105,1,2009,beijing,20831.56,5.7,4.5,0.3
CUL_0105,2,2009,beijing,*,5.58,4.43,0.32
CUL_0106,1,2009,beijing,25141.54,4.5,4.42,0.34
CUL_0106,2,2009,beijing,*,4.75,4.34,0.35
CUL_0107,1,2009,beijing,44536.44,5.1,4.55,0.21
CUL_0107,2,2009,beijing,*,5.52,4.27,0.41
CUL_0108,1,2009,beijing,46691.42,5.05,4.43,0.33
CUL_0108,2,2009,beijing,*,5,4.51,0.26
CUL_0109,1,2009,beijing,40944.79,5.3,4.55,0.29
CUL_0109,2,2009,beijing,*,5.06,4.43,0.25
CUL_0110,1,2009,beijing,58903.03,5.4,4.53,0.32
CUL_0110,2,2009,beijing,*,5.16,4.49,0.29
CUL_0111,1,2009,beijing,73987.95,5.4,4.46,0.3
CUL_0111,2,2009,beijing,*,5.65,4.42,0.31
CUL_0112,1,2009,beijing,55311.38,4.75,4.43,0.33
CUL_0112,2,2009,beijing,*,5.69,4.44,0.36
CUL_0113,1,2009,beijing,76142.94,4.6,4.43,0.27
